,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,64.8174,-23.7852,15.0,630,922,1419,4.903,336,3412,46.03086,18.708817
1,64.7951,-23.7686,17.7,769,1152,1415,1.897,139,1823,82.58528,34.805622
2,64.7979,-23.8043,22.8,761,1012,1417,0.751,262,1244,50.4688,31.312199
3,64.8036,-23.821,17.8,786,853,911,0.067,262,334,62.293095,42.805454
4,64.8046,-23.7993,16.1,900,1125,1416,0.978,310,1960,44.773697,29.384962
5,64.8003,-23.753,17.3,817,1087,1420,0.912,114,2009,92.97303,41.98625
6,64.8116,-23.7522,15.7,708,1010,1409,2.712,67,2423,116.27756,42.80982
7,65.4045,-18.542,13.6,922,1060,1210,2.166,46,1995,115.149734,50.004192
8,65.6388,-18.3031,19.2,1240,1336,1423,0.448,87,902,92.82861,52.449482
9,65.6495,-18.2939,15.2,1000,1123,1397,1.0,22,1503,127.29217,55.4748
10,65.6563,-18.3097,25.5,1106,1225,1274,0.258,44,406,116.49135,68.83629
11,65.641,-18.3319,20.6,1171,1243,1307,0.052,253,215,50.68091,37.343052
12,65.6436,-18.3225,16.3,1063,1235,1424,0.828,328,1293,41.646587,28.350359
13,65.6683,-18.9709,17.2,948,1120,1182,0.771,342,1316,46.22915,25.82195
14,65.6694,-19.0037,19.3,978,1137,1176,0.469,109,1199,89.44364,52.8013
15,65.6644,-18.3142,23.6,1077,1160,1189,0.077,63,355,107.866554,70.73387
16,65.6725,-18.9196,12.0,1052,1091,1326,3.279,284,2959,36.351086,20.85788
17,65.6796,-18.6833,37.7,1157,1261,1331,0.096,29,305,124.306435,71.11669
18,65.6845,-18.7129,27.1,1166,1206,1278,0.119,18,325,127.571465,76.5701
19,65.6958,-18.7361,19.4,1065,1116,1171,0.229,333,564,51.260143,30.390566
20,65.6965,-18.7501,18.0,1022,1072,1141,0.165,345,491,52.806923,30.978607
21,65.4502,-18.5253,21.8,1080,1134,1207,0.23,42,413,116.34448,73.000946
22,65.8259,-18.4386,21.9,814,948,1086,0.086,360,379,54.667046,29.77896
23,65.6993,-18.7197,23.1,1048,1152,1288,0.113,25,486,125.53433,70.48033
24,65.6839,-18.8748,14.4,942,1153,1378,6.608,14,3133,123.09834,30.537186
25,65.6889,-18.8107,13.2,767,1125,1291,4.776,325,2826,44.755707,17.842503
26,65.6541,-18.8311,13.0,996,1177,1380,5.093,63,1788,96.43593,33.16224
27,65.6535,-18.8658,16.3,961,1208,1322,0.896,298,1014,44.929996,29.754967
28,65.6425,-18.7725,11.8,1028,1184,1277,0.862,349,1267,43.82877,25.598618
29,65.693,-18.7833,16.6,1180,1199,1281,0.062,11,354,129.69928,78.289635
30,65.6972,-18.7775,19.9,1032,1118,1176,0.364,48,740,114.886086,69.25429
31,65.7021,-18.7876,22.3,1088,1144,1213,0.146,74,425,100.872635,66.76887
32,65.6385,-18.7411,21.3,1062,1159,1275,0.277,150,678,70.75247,46.543304
33,65.6382,-18.7699,25.6,1087,1213,1280,0.279,179,431,62.638283,43.548298
34,65.6392,-18.7999,22.8,1091,1235,1256,0.167,176,269,65.07501,46.751057
35,65.7055,-18.9181,12.2,939,1125,1298,1.167,42,1938,121.11405,51.670635
36,65.7154,-18.9989,24.3,1001,1085,1199,0.128,334,373,50.6919,29.447496
37,65.7156,-18.6996,12.5,1010,1037,1082,0.101,325,434,54.84788,34.04997
38,65.7174,-19.022,17.4,916,1025,1214,0.822,35,1181,121.03569,61.951313
39,65.7204,-18.9901,24.3,1051,1148,1215,0.164,41,382,118.24877,72.094635
40,65.7119,-18.9644,11.1,872,1071,1299,4.714,6,3067,136.89354,39.3693
41,65.7191,-18.6297,25.1,851,1069,1260,0.11,282,371,49.417824,32.913948
42,65.7117,-18.6567,14.8,672,1019,1272,3.16,17,3121,145.71341,43.008892
43,65.7172,-18.568,15.9,1038,1175,1282,0.87,100,1019,88.20528,49.991558
44,65.7174,-18.6064,14.0,1063,1122,1198,0.15,154,383,69.990715,52.73741
45,65.7239,-18.5984,16.5,940,1066,1304,0.929,315,989,41.234894,27.937021
46,65.8278,-18.492,30.0,1123,1206,1292,0.139,287,318,49.129513,32.04701
