,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
0,43.2003,42.0891,43.2,3054,3202,3391,0.078,163,424,98.52875,14.675152
1,43.1992,42.7121,21.5,3271,3340,3363,0.042,49,177,110.71533,17.189156
2,43.3543,41.8426,28.8,3387,3623,3717,0.13,79,388,112.07568,17.081732
3,42.8031,43.8138,24.7,2368,3409,4130,4.187,353,5295,105.25589,16.990335
4,43.1191,42.6611,51.6,3751,3848,3961,0.033,145,158,97.77772,16.434956
5,43.1583,42.5158,31.9,3352,3508,3680,0.176,197,538,93.30309,14.478576
6,42.9523,43.52,34.4,3661,3846,3984,0.125,240,508,89.70889,14.590787
7,43.0973,43.2427,34.3,3365,3482,3606,0.101,333,428,77.889854,14.585007
8,43.3002,41.4506,33.8,2558,2912,3331,0.39,217,1182,101.43592,12.870187
9,42.7584,43.7575,27.6,3208,3617,3903,0.553,245,1630,98.87862,12.771878
10,42.6974,44.4001,23.1,3231,3844,4292,1.688,166,3290,116.73313,11.999172
11,42.9564,43.5074,30.4,3629,3740,4051,0.357,237,863,88.074394,14.298339
12,43.0834,43.2422,42.0,3307,3506,3730,0.136,104,464,108.591705,16.137527
13,43.3778,42.4276,22.6,3053,4098,5611,12.843,357,6902,84.376434,15.685007
14,43.2768,41.5514,32.7,2871,3150,3321,0.221,93,641,113.51775,16.060024
15,43.2675,42.8305,36.0,3482,3693,4079,0.343,298,1466,87.92922,13.502264
16,43.1282,42.3454,25.9,3109,3199,3489,0.21,74,723,109.93273,16.529541
17,43.2352,42.9086,35.6,3543,3674,3972,0.163,84,459,108.93593,17.226147
18,43.261,42.877,19.5,3083,3212,3902,0.62,23,2034,123.75015,17.35008
19,42.6964,44.5204,33.1,4722,4922,5007,0.134,105,391,108.11877,20.107977
20,42.713,44.1351,32.8,3424,3635,3741,0.2,124,540,104.83751,15.762948
21,43.16,42.4675,17.4,3316,3334,3367,0.036,246,182,81.7908,14.357176
22,42.8614,43.5906,27.9,2471,2971,3501,1.424,9,1931,135.74394,15.744703
23,42.988,43.5216,19.8,3510,3635,3716,0.176,103,704,104.735535,16.532808
24,42.859,43.587,28.2,2980,3047,3139,0.015,12,302,118.57656,17.373598
25,42.8681,43.4682,39.8,3097,3276,3535,0.124,318,501,81.660034,14.241765
26,43.2903,42.2136,27.2,3127,3294,3430,0.166,347,615,77.627495,14.962793
27,42.9743,43.469,48.5,3624,3840,3950,0.051,8,285,123.16409,18.743752
28,43.1319,42.1122,21.5,3131,3170,3211,0.031,178,224,90.83032,14.964001
29,43.2019,41.8618,30.5,2599,2763,3024,0.233,61,605,115.08646,16.233727
30,43.1413,42.6937,20.0,1865,3212,4138,8.396,134,6912,124.466736,15.982049
31,43.3297,42.615,23.7,3158,3545,3902,1.834,20,1863,123.81765,15.383409
32,43.0261,43.0031,33.0,3766,4222,4471,0.423,127,1210,114.57311,16.601898
33,43.1728,42.5275,17.4,2687,3309,4413,6.711,126,5847,106.798676,11.083065
34,43.2106,42.8294,47.1,3369,3485,3566,0.012,343,180,76.726074,14.794395
35,43.2101,41.6184,45.9,2659,2830,3115,0.102,117,440,107.15057,15.143137
36,42.9634,43.4607,37.9,3645,3861,4013,0.241,230,682,91.674446,14.453024
37,43.4299,41.594,24.1,3103,3210,3438,0.495,28,974,116.518776,16.793116
38,43.2387,42.2211,25.4,3110,3285,3379,0.148,56,629,114.58579,16.775986
39,43.252,41.639,37.2,2849,3010,3223,0.109,317,483,80.282814,14.444082
40,42.9169,43.4078,42.3,3170,3301,3476,0.068,285,320,82.7441,13.842274
41,43.3375,42.3964,27.2,3932,4736,4937,0.757,205,911,116.554924,16.375544
42,43.1645,42.0314,31.5,2934,3080,3285,0.101,70,572,112.707756,16.60697
43,43.1757,42.5393,28.2,3289,3447,3576,0.205,204,490,91.87947,14.300462
